marka,model,year,fuel,country,place,price,currency,photo_link,ad_link
Audi,A6,2017,Diesel,DE,25813 Husum,13200,EUR,https://prod.pictures.autoscout24.net/listing-images/426f2e21-5742-45e8-aac3-30d6291a6ffc_c65c93fd-29e5-423f-babf-b264821e73a4.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-a6-2-0-tdi-ultra-diesel-black-426f2e21-5742-45e8-aac3-30d6291a6ffc
Audi,A4,2016,Diesel,DE,25813 Husum,12700,EUR,https://prod.pictures.autoscout24.net/listing-images/c2ad63be-dba3-4796-a673-266ec6166321_d1d7d1e1-00a7-42af-8547-6079f15a8364.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-a4-avant-2-0-tdi-s-tronic-quattro-sport-diesel-black-c2ad63be-dba3-4796-a673-266ec6166321
Audi,TT,1999,Gasoline,DE,25813 Husum,9900,EUR,https://prod.pictures.autoscout24.net/listing-images/d02dfd1d-19e2-45d5-aae4-b04c2565c5fb_fff82604-af9a-4fa4-9ec3-1528c0bf745c.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-tt-coupe-1-8-t-20v-225-cv-cat-quattro-gasoline-silver-d02dfd1d-19e2-45d5-aae4-b04c2565c5fb
Audi,Q7,2006,Diesel,DE,85435 Erding,11500,EUR,https://prod.pictures.autoscout24.net/listing-images/fc8cef2c-5211-4b8d-b351-a3f9ca7bf18f_9d2bd496-1993-4bff-bb60-1ae0d9353951.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-q7-3-0-tdi-dpf-quattro-tiptronic-diesel-grey-fe12d708-9d20-448a-a47a-bceae8f7be92
Audi,A4,2016,Diesel,FR,59500 Lambres les Douai,27100,EUR,https://prod.pictures.autoscout24.net/listing-images/b2ae28bd-e1bb-4623-b868-95065f166851_ef0d3bc4-713a-4fb9-88e4-2dd49a86d6c3.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-a4-avant-3-0-tdi-quattro-tiptronic-sport-diesel-white-fc8cef2c-5211-4b8d-b351-a3f9ca7bf18f
Audi,A6,2014,Diesel,FR,59500 Lambres les Douai,7450,EUR,https://prod.pictures.autoscout24.net/listing-images/51465640-ad3a-445b-a3e6-11f903cd2d00_30991af2-d03d-43b1-8ddb-25e8e0a9a27f.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-a6-allroad-quattro-3-0-tdi-s-tronic-dpf-diesel-silver-b2ae28bd-e1bb-4623-b868-95065f166851
Audi,A4,2014,Diesel,FR,51100 Reims,7800,EUR,https://prod.pictures.autoscout24.net/listing-images/63d8fcdc-7a71-42bb-8cce-d400d3fc368f_a0da863c-9144-4890-91e8-7e34b3f400ee.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-a4-allroad-quattro-2-0-tdi-dpf-s-tronic-diesel-black-51465640-ad3a-445b-a3e6-11f903cd2d00
Audi,A1,2020,Gasoline,FR,51100 Reims,24490,EUR,https://prod.pictures.autoscout24.net/listing-images/5e3c053e-028e-4ad7-b24a-7b65ae2e8a96_6fd6eff9-06a7-437f-a470-e0a573b0a12f.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-a1-sportback-30-tfsi-110ch-design-gasoline-white-5e3c053e-028e-4ad7-b24a-7b65ae2e8a96
Audi,S1,2015,Gasoline,DE,25813 Husum,12300,EUR,https://prod.pictures.autoscout24.net/listing-images/f96edd3f-c16f-458b-a94b-6cf41aa0d598_5ded42d5-c008-41f2-a0ce-dac344ce78e0.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-s1-grundausstattung-gasoline-black-f96edd3f-c16f-458b-a94b-6cf41aa0d598
Audi,A6,2018,Diesel,FR,56380 GUER,25400,EUR,https://prod.pictures.autoscout24.net/listing-images/30ca953f-d756-45c9-a6e8-9460c9594cd1_3c3e9289-51e0-4e25-ae70-4d07b326e91f.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-a6-50-tdi-quattro-tiptronic-design-diesel-grey-30ca953f-d756-45c9-a6e8-9460c9594cd1
Audi,A3,2017,Diesel,DE,25813 Husum,19990,EUR,https://prod.pictures.autoscout24.net/listing-images/94622e57-c244-4baa-834f-42f67320accf_d6f1747f-bfad-4c59-a5ec-43c404c92797.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-a3-sportback-1-6-tdi-110ch-sport-diesel-black-94622e57-c244-4baa-834f-42f67320accf
Audi,S8,2016,Gasoline,IT,40057 Granarolo dell'Emilia - Bologna - Bo,26400,EUR,https://prod.pictures.autoscout24.net/listing-images/6e26d0bb-6f5a-4d7f-ade5-2be4a54e456d_122317f3-500e-4bef-bc17-f0eb02d28cbe.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-s8-gasoline-grey-6e26d0bb-6f5a-4d7f-ade5-2be4a54e456d
Audi,Q3,2015,Gasoline,AT,2100 Korneuburg,17700,EUR,https://prod.pictures.autoscout24.net/listing-images/27160894-b623-45fd-ba75-486cca533a66_b947954e-6739-46b8-b0f2-7c63564ccea5.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-q3-2-0-tfsi-quattro-s-tronic-gasoline-black-27160894-b623-45fd-ba75-486cca533a66
