marka,model,year,fuel,price,currency,ad_link
Ford,EDGE,2017 ,Diesel,99900,PLN,https://www.otomoto.pl/oferta/ford-edge-ID6DV3bB.html#4773cd60f9
Opel,Astra,2008 ,Diesel,9900,PLN,https://www.otomoto.pl/oferta/opel-astra-h-kombi-2008r-1-9cdti-100km-navi-z-niemiec-bezwypadkowy-ID6DV3by.html#4773cd60f9
Renault,Laguna,2011 ,Diesel,26900,PLN,https://www.otomoto.pl/oferta/renault-laguna-2-0-dci-4control-xenon-navi-bose-alcantara-keyless-go-bezwypadkowa-ID6DV3bj.html#4773cd60f9
BMW,Seria,2008 ,Gasoline,28000,PLN,https://www.otomoto.pl/oferta/bmw-seria-3-335i-e92-n54-w-oryginalnym-lakierze-serwisowany-w-aso-do-konca-ID6DV3bi.html#4773cd60f9
Mazda,CX-7,2010 ,Diesel,43000,PLN,https://www.otomoto.pl/oferta/mazda-cx-7-mazda-cx7-eh64-eab-5dr-wgn-2-2-mzr-cd-173km-6mt-przebieg-86-tys-ID6DV3aW.html#4773cd60f9
Toyota,RAV4,2001 ,Gasoline,14400,PLN,https://www.otomoto.pl/oferta/toyota-rav4-klima-alu-stan-bdb-ID6DV3aA.html#4773cd60f9
Peugeot,205,1994 ,Gasoline,5500,PLN,https://www.otomoto.pl/oferta/peugeot-205-peugeot-205-1-0-ID6DV3ah.html#4773cd60f9
Audi,A6,2015 ,Diesel,99000,PLN,https://www.otomoto.pl/oferta/audi-a6-2-0tdi-190km-daytona-grey-serwis-aso-alu-19-2-x-s-line-ID6DV3ac.html#4773cd60f9
Toyota,Yaris,2016 ,Gasoline,21900,PLN,https://www.otomoto.pl/oferta/toyota-yaris-lpg-1-wlasciciel-salon-polska-serwisowana-ID6DV3a8.html#4773cd60f9
Ford,Mondeo,2010 ,Gasoline,5900,PLN,https://www.otomoto.pl/oferta/ford-mondeo-2-0t-200-koni-automat-ID6DV3a7.html#4773cd60f9
Mazda,2,2003 ,Gasoline,4200,PLN,https://www.otomoto.pl/oferta/mazda-2-mazda-2-1-4-benzyna-ID6DV3a6.html#4773cd60f9
Citroen,C4,2015 ,Diesel,58000,PLN,https://www.otomoto.pl/oferta/citroen-c4-grand-picasso-citroen-stan-idealny-ID6DV3a5.html#4773cd60f9
Fiat,Grande,2012 ,Diesel,12300,PLN,https://www.otomoto.pl/oferta/fiat-grande-punto-1-3-multijet-5-drzwi-klima-piekny-i-zadbany-ID6DV3a3.html#4773cd60f9
Audi,A4,2010 ,Diesel,36800,PLN,https://www.otomoto.pl/oferta/audi-a4-s-linelednavibixenondvd170kmbialy-ID6DV3a2.html#4773cd60f9
Volvo,S40,1999 ,Gasoline,4900,PLN,https://www.otomoto.pl/oferta/volvo-s40-super-volvo-s40-stan-bdb-salon-polska-i-wlasciciel-garazowany-ID6DV3a0.html#4773cd60f9
BMW,Seria,2017 ,Diesel,68700,PLN,https://www.otomoto.pl/oferta/bmw-seria-5-530d-xdrive-sport-line-navi-proffesional-ambient-light-rude-skory-ID6DV39H.html#4773cd60f9
