marka,model,year,price,currency,photo_link,ad_link
Audi,SQ8,2019,94900,EUR,https://prod.pictures.autoscout24.net/listing-images/10b8114a-9263-4671-b4ce-28015d69bcf1_3a6beb87-eb1a-4740-b05e-627d67442f50.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-sq8-rs-seats-black-optic-22-alu-b-o-towbar-diesel-grey-10b8114a-9263-4671-b4ce-28015d69bcf1
Audi,Q5,2017,41950,EUR,https://prod.pictures.autoscout24.net/listing-images/2b945e07-8ec3-4061-93c2-4e190624823e_e2a1e3b1-16c6-456e-884e-34596597cae6.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-q5-2-0-tdi-quattro-tiptr-luchtvering-b-o-panorama-20-diesel-black-2b945e07-8ec3-4061-93c2-4e190624823e
Audi,Q8,2019,73970,EUR,https://prod.pictures.autoscout24.net/listing-images/eee6f27c-90bb-42ef-a378-ab2288aee26a_231873ee-2660-4dfb-bf6a-0627d23d2038.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-q8-50-tdi-quattro-euro-6-navigation-panorama-vi-diesel-grey-eee6f27c-90bb-42ef-a378-ab2288aee26a
Audi,A4,2018,31470,EUR,https://prod.pictures.autoscout24.net/listing-images/cbd62361-805b-4725-a350-49f7735d22ad_be006191-5427-4ba1-ba22-c9dc597758ff.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-a4-avant-2-0-tfsi-quattro-sport-navigation-led-sc-gasoline-white-cbd62361-805b-4725-a350-49f7735d22ad
Audi,A3,2020,23320,EUR,https://prod.pictures.autoscout24.net/listing-images/a32aab61-aada-4122-831d-9e6eaad58522_c5ae44d6-f34d-49c6-b798-300df429f534.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-a3-limousine-35-tdi-sport-euro6-einparkhilfe-plus-diesel-blue-a32aab61-aada-4122-831d-9e6eaad58522
Audi,A4,2019,34970,EUR,https://prod.pictures.autoscout24.net/listing-images/1d5fabac-5728-4d84-b9b6-d052acdc4a79_ef3b8ea0-da07-4ed4-974b-293bc40b553a.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-a4-avant-40-tdi-quattro-sport-euro-6-navigation-diesel-grey-1d5fabac-5728-4d84-b9b6-d052acdc4a79
Audi,RS, 2021,149980,EUR,https://prod.pictures.autoscout24.net/listing-images/4c405344-ae9c-4ba0-91c0-df49fc0e5f9b_a98faf3d-1877-417f-8a3c-e0ce1f84c8d2.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-rs-q8-tiptronic-upe-159-905-incl-berf-hrung-matr-gasoline-grey-4c405344-ae9c-4ba0-91c0-df49fc0e5f9b
Audi,A6, 2021,62890,EUR,https://prod.pictures.autoscout24.net/listing-images/c27ab559-4905-4bf2-a3d6-e308aaa01b8e_40b77eeb-ae94-4e5a-89a0-b14205bab6d1.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-a6-avant-40-tdi-quattro-s-tronic-upe-71-045-incl-diesel-black-c27ab559-4905-4bf2-a3d6-e308aaa01b8e
Audi,A3,2021,38980,EUR,https://prod.pictures.autoscout24.net/listing-images/03b898f9-7bef-4ac4-a04e-085006b437c6_7209b6a4-4786-4120-9b6f-55abe81858e0.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-a3-s-line-35-tfsi-110-150-upe-49-225-5jahregarant-gasoline-blue-03b898f9-7bef-4ac4-a04e-085006b437c6
Audi,A4,2018,18970,EUR,https://prod.pictures.autoscout24.net/listing-images/f737050e-b5b7-4d30-8daa-28ae8205f384_a0064afc-2b3a-4c43-990b-90989ae949f1.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-a4-avant-2-0-tdi-basis-euro-6-navigation-bi-xeno-diesel-grey-f737050e-b5b7-4d30-8daa-28ae8205f384
Audi,A6, 2021,71890,EUR,https://prod.pictures.autoscout24.net/listing-images/2d62c3e0-4c46-4e4c-af07-9c994d031eca_951356ab-7013-49ef-bf73-9546e6d36d6e.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-a6-avant-sport-40-tdi-quattro-150-2-upe-81-290-in-diesel-black-2d62c3e0-4c46-4e4c-af07-9c994d031eca
Audi,Q5, 2021,48890,EUR,https://prod.pictures.autoscout24.net/listing-images/fda71f93-0c66-4009-8c4e-c250fb2e9d65_bdd0f782-0b7c-4569-ae7b-b17b919183c1.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-q5-advanced-35-tdi-s-tronic-upe-55-235-incl-berf-diesel-black-fda71f93-0c66-4009-8c4e-c250fb2e9d65
Audi,A6,2018,45970,EUR,https://prod.pictures.autoscout24.net/listing-images/de6df5ff-dbc9-4a4e-8ee3-9decdca502ad_ef71ddc7-59db-4c96-8394-0136bd09f501.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-a6-avant-50-tdi-quattro-sport-euro-6-navigation-diesel-black-de6df5ff-dbc9-4a4e-8ee3-9decdca502ad
Audi,A6, 2021,71980,EUR,https://prod.pictures.autoscout24.net/listing-images/f2fba4fc-8d7d-40b4-9bda-5ea2c14932b0_1c2db8e6-98a4-46a7-a695-78b0f8673f44.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-a6-avant-sport-40-tdi-quattro-150-2-upe-81-290-in-diesel-black-f2fba4fc-8d7d-40b4-9bda-5ea2c14932b0
Audi,Q5,2018,42970,EUR,https://prod.pictures.autoscout24.net/listing-images/c281b21d-842b-474c-8b09-1d533d80b8cc_40101943-c4e0-43f4-b29f-be051dd53bc9.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-q5-2-0-tfsi-quattro-sport-navigation-r-ckfahrkame-gasoline-grey-c281b21d-842b-474c-8b09-1d533d80b8cc
Audi,A6,2018,33970,EUR,https://prod.pictures.autoscout24.net/listing-images/b590ecd6-1d47-4dfe-957f-ecc8ea48ce08_8a0a1c90-d154-491f-9be1-936c17308960.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-a6-avant-3-0-tdi-quattro-euro-6-navigation-matri-diesel-grey-b590ecd6-1d47-4dfe-957f-ecc8ea48ce08
Audi,A6,2021,82980,EUR,https://prod.pictures.autoscout24.net/listing-images/4186607c-1c3a-4fd2-95b0-324e01bd8c4f_1617d04e-4ca3-49d6-8aef-019546494a65.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-a6-avant-sport-50-tdi-quattro-210-2-upe-102-760-5-diesel-grey-4186607c-1c3a-4fd2-95b0-324e01bd8c4f
Audi,A6,2020,43590,EUR,https://prod.pictures.autoscout24.net/listing-images/5cf02c7e-bc91-4648-9304-88641564f2aa_484c147e-37fe-496e-99ae-f475dd65d734.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-a6-40-tdi-design-a6-lim-kamera-led-navi-leder-lhz-electric-diesel-black-5cf02c7e-bc91-4648-9304-88641564f2aa
Audi,Q7,2016,43900,EUR,https://prod.pictures.autoscout24.net/listing-images/2692b922-6ae7-4fa9-8d6d-1b6c18cae25d_cf9c12e7-ac74-4b2b-8504-a0239752b24c.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-q7-3-0tdi-s-line-7-places-headup-toit-pano-camera-ful-diesel-blue-2692b922-6ae7-4fa9-8d6d-1b6c18cae25d
Audi,Q5,2017,33960,EUR,https://prod.pictures.autoscout24.net/listing-images/615e0bc1-2b57-436a-ad91-716708d0e803_17abcae7-9a52-4561-bf21-ac406500ad4d.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-q5-2-0-tdi-quattro-sline-pano-led-privacy-lm19-navi-diesel-grey-615e0bc1-2b57-436a-ad91-716708d0e803
Audi,RS,2021,78198,EUR,https://prod.pictures.autoscout24.net/listing-images/17227124-a8f4-40c7-9bf1-a9294109cbc3_9b57fc12-92d6-4d70-84eb-33679f9a0632.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-rs-q3-sportback-quattro-s-tronic-panodach-ahk-gasoline-black-17227124-a8f4-40c7-9bf1-a9294109cbc3
Audi,A6,1999,1200,EUR,https://prod.pictures.autoscout24.net/listing-images/24a0f9c9-0984-47e7-9a47-51dfe01528c2_e11a9014-7284-4f02-abe0-caaf35f315b2.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-a6-1-9-tdi-diesel-blue-24a0f9c9-0984-47e7-9a47-51dfe01528c2
Audi,RS3,2019,49000,EUR,https://prod.pictures.autoscout24.net/listing-images/9880a5fb-e28a-4642-b83e-19110126e502_2222d30e-ec01-43f5-af04-ab7a896e7de6.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-rs3-rs-3-spb-2-5-tfsi-quattro-s-tronic-gasoline-black-9880a5fb-e28a-4642-b83e-19110126e502
Audi,Q5,2018,46950,EUR,https://prod.pictures.autoscout24.net/listing-images/1c335a13-5c3c-4c40-9b0a-21589fd3ff1b_f7147a4a-cb7e-45a1-8621-3cf0ab6376bf.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-q5-2-0-tfsi-252pk-quattro-s-line-luchtvering-aut-gasoline-black-1c335a13-5c3c-4c40-9b0a-21589fd3ff1b
Audi,Q3,2014,14500,EUR,https://prod.pictures.autoscout24.net/listing-images/8d945937-e7dc-4d3b-8770-32d894bec1d7_c57d7535-e2f5-4133-99e2-bc5361d9ca2a.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-q3-2-0-tdi-diesel-blue-8d945937-e7dc-4d3b-8770-32d894bec1d7
Audi,A6,2017,41890,EUR,https://prod.pictures.autoscout24.net/listing-images/afe93884-c426-4317-9276-ced38b597c07_9740462b-5d36-4193-89a2-faa97bf1967b.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-a6-avant-3-0-tdi-competition-s-line-acc-pano-ahk-led-diesel-grey-afe93884-c426-4317-9276-ced38b597c07
Audi,A4,2020,36980,EUR,https://prod.pictures.autoscout24.net/listing-images/7b60531a-0308-49d9-97f7-f8f6f5cc42f8_2fb77c5b-e490-4856-89af-f84c9fb70c01.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-a4-avant-advanced-40-tdi-quattro-tiptronic-bluetooth-diesel-black-7b60531a-0308-49d9-97f7-f8f6f5cc42f8
Audi,A3,2018,24950,EUR,https://prod.pictures.autoscout24.net/listing-images/826973cb-476d-492f-9e77-5bfee88a32a4_9a0cd134-54cd-40b2-a4b3-66a7eab74b32.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-a3-1-5-tfsi-limousine-sport-sportpaket-bluetooth-gasoline-826973cb-476d-492f-9e77-5bfee88a32a4
Audi,Q3,2018,27950,EUR,https://prod.pictures.autoscout24.net/listing-images/f6f6ef8a-a1e9-4bee-80e2-1159e2f30385_04954c9a-3c31-4d08-994c-71b6db3ab7af.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-q3-2-0-tfsi-quattro-sport-navi-bluetooth-klima-gasoline-f6f6ef8a-a1e9-4bee-80e2-1159e2f30385
Audi,A6,2018,38980,EUR,https://prod.pictures.autoscout24.net/listing-images/df31738d-0bcd-4661-833d-f4d1f4f8ceb0_fa13ea58-129f-4189-b096-a68718284b70.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-a6-avant-3-0-tdi-quat-2x-s-line-luftfederung-navi-diesel-black-df31738d-0bcd-4661-833d-f4d1f4f8ceb0
Audi,A6,2018,26980,EUR,https://prod.pictures.autoscout24.net/listing-images/80a72cc1-3ba7-434f-8c45-b8c4f497c3f4_50ca4257-5198-4f60-94ca-c6385895ec57.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-a6-avant-1-8-tfsi-s-line-xenon-navi-rfk-sportpaket-gasoline-grey-80a72cc1-3ba7-434f-8c45-b8c4f497c3f4
Audi,A1,2020,28980,EUR,https://prod.pictures.autoscout24.net/listing-images/c31104a5-147a-4d2f-a596-80931536c17e_dee0c03d-8ec6-4caa-babc-e391b058e2d8.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-a1-citycarver-30-tfsi-navi-rfk-led-bluetooth-klima-gasoline-green-c31104a5-147a-4d2f-a596-80931536c17e
